Date, Value
2013-06-13,96.6600
2013-06-14,97.8300
2013-06-17,97.8600
2013-06-18,98.4600
2013-06-19,98.2400
2013-06-20,94.8900
2013-06-21,93.8100
2013-06-24,95.0700
2013-06-25,95.2500
2013-06-26,95.4700
2013-06-27,97.0000
2013-06-28,96.3600
2013-07-01,97.9400
2013-07-02,99.6500
2013-07-03,101.9200
2013-07-05,103.0900
2013-07-08,103.0300
2013-07-09,103.4600
2013-07-10,106.4100
2013-07-11,104.7700
2013-07-12,105.8500
2013-07-15,106.2000
2013-07-16,105.8800
2013-07-17,106.3900
2013-07-18,107.9400
2013-07-19,108.0000
2013-07-22,106.6100
2013-07-23,107.1300
2013-07-24,105.4100
2013-07-25,105.4700
2013-07-26,104.7600
2013-07-29,104.6100
2013-07-30,103.1400
2013-07-31,105.1000
2013-08-01,107.9300
2013-08-02,106.9400
2013-08-05,106.6100
2013-08-06,105.3200
2013-08-07,104.4100
2013-08-08,103.4500
2013-08-09,106.0400
2013-08-12,106.1900
2013-08-13,106.7800
2013-08-14,106.8900
2013-08-15,107.4300
2013-08-16,107.5800
2013-08-19,107.1400
2013-08-20,104.9000
2013-08-21,103.9300
2013-08-22,104.9300
2013-08-23,106.4800
2013-08-26,105.8800
2013-08-27,109.1100
2013-08-28,110.1700
2013-08-29,108.5100
2013-08-30,107.9800
2013-09-03,108.6700
2013-09-04,107.2900
2013-09-05,108.5000
2013-09-06,110.6200
2013-09-09,109.6200
2013-09-10,107.4800
2013-09-11,107.6500
2013-09-12,108.7200
2013-09-13,108.3100
2013-09-16,106.5400
2013-09-17,105.3600
2013-09-18,108.2300
2013-09-19,106.2600
2013-09-20,104.7000
2013-09-23,103.6200
2013-09-24,103.2200
2013-09-25,102.6800
2013-09-26,103.1000
2013-09-27,102.8600
2013-09-30,102.3600
2013-10-01,102.0900
2013-10-02,104.1500
2013-10-03,103.2900
2013-10-04,103.8300
2013-10-07,103.0700
2013-10-08,103.5400
2013-10-09,101.6300
2013-10-10,103.0800
2013-10-11,102.1700
2013-10-14,102.4600
2013-10-15,101.1500
2013-10-16,102.3400
2013-10-17,100.7200
2013-10-18,100.8700
2013-10-21,99.2800
2013-10-22,97.6300
2013-10-23,96.9000
2013-10-24,96.6500
2013-10-25,97.4000
2013-10-28,98.7400
2013-10-29,98.2900
2013-10-30,96.8100
2013-10-31,96.2900
2013-11-01,94.5600
2013-11-04,94.5800
2013-11-05,93.4000
2013-11-06,94.7400
2013-11-07,94.2500
2013-11-08,94.5600
2013-11-11,95.1300
2013-11-12,93.1200
2013-11-13,93.9100
2013-11-14,93.7600
2013-11-15,93.8000
2013-11-18,93.0300
2013-11-19,93.3500
2013-11-20,93.3400
2013-11-21,95.3500
2013-11-22,94.5300
2013-11-25,93.8600
2013-11-26,93.4100
2013-11-27,92.0500
2013-11-29,92.5500
2013-12-02,93.6100
2013-12-03,95.8300
2013-12-04,96.9700
2013-12-05,97.1400
2013-12-06,97.4800
2013-12-09,97.1000
2013-12-10,98.3200
2013-12-11,97.2500
2013-12-12,97.2100
2013-12-13,96.2700
2013-12-16,97.1800
2013-12-17,96.9900
2013-12-18,97.5900
2013-12-19,98.4000
2013-12-20,99.1100
2013-12-23,98.6200
2013-12-24,98.8700
2013-12-26,99.1800
2013-12-27,99.9400
2013-12-30,98.9000
2013-12-31,98.1700
2014-01-02,95.1400
2014-01-03,93.6600
2014-01-06,93.1200
2014-01-07,93.3100
2014-01-08,91.9000
2014-01-09,91.3600
2014-01-10,92.3900
2014-01-13,91.4500
2014-01-14,92.1500
2014-01-15,93.7800
2014-01-16,93.5400
2014-01-17,93.9600
2014-01-21,94.5100
2014-01-22,96.3500
2014-01-23,97.2300
2014-01-24,96.6600
2014-01-27,95.8200
2014-01-28,97.4900
2014-01-29,97.3400
2014-01-30,98.2500
2014-01-31,97.5500
2014-02-03,96.4400
2014-02-04,97.2400
2014-02-05,97.4000
2014-02-06,97.8400
2014-02-07,99.9800
2014-02-10,100.1200
2014-02-11,99.9600
2014-02-12,100.3800
2014-02-13,100.2700
2014-02-14,100.3100
2014-02-18,102.5400
2014-02-19,103.4600
2014-02-20,103.2000
2014-02-21,102.5300
2014-02-24,103.1700
2014-02-25,102.2000
2014-02-26,102.9300
2014-02-27,102.6800
2014-02-28,102.8800
2014-03-03,105.3400
2014-03-04,103.6400
2014-03-05,101.7500
2014-03-06,101.8200
2014-03-07,102.8200
2014-03-10,101.3900
2014-03-11,100.2900
2014-03-12,98.2900
2014-03-13,98.5700
2014-03-14,99.2300
2014-03-17,98.4300
2014-03-18,100.0800
2014-03-19,100.7100
2014-03-20,99.6800
2014-03-21,99.9700
2014-03-24,100.0500
2014-03-25,99.6600
2014-03-26,100.6100
2014-03-27,101.2500
2014-03-28,101.7300
2014-03-31,101.5700
2014-04-01,99.6900
2014-04-02,99.6000
2014-04-03,100.2900
2014-04-04,101.1600
2014-04-07,100.4300
2014-04-08,102.5700
2014-04-09,103.5500
2014-04-10,103.3700
2014-04-11,103.6800
2014-04-14,104.0500
2014-04-15,103.7000
2014-04-16,103.7100
2014-04-17,104.3300
2014-04-21,104.3500
2014-04-22,101.6900
2014-04-23,101.4700
2014-04-24,102.2000
2014-04-25,100.8500
2014-04-28,101.1300
2014-04-29,101.5600
2014-04-30,100.0700
2014-05-01,99.6900
2014-05-02,100.0900
2014-05-05,99.7400
2014-05-06,99.8100
2014-05-07,101.0600
2014-05-08,100.5200
2014-05-09,100.3200
2014-05-12,100.8900
2014-05-13,102.0100
2014-05-14,102.6300
2014-05-15,101.7400
2014-05-16,102.3100
2014-05-19,102.9500
2014-05-20,102.8000
2014-05-21,104.3100
2014-05-22,104.0300
2014-05-23,105.0100
2014-05-27,104.7800
2014-05-28,103.3700
2014-05-29,104.2600
2014-05-30,103.4000
2014-06-02,103.0700
2014-06-03,103.3400
2014-06-04,103.2700
2014-06-05,103.1700
2014-06-06,103.3200
2014-06-09,105.0900
2014-06-10,105.0200
2014-06-11,105.0400
2014-06-12,107.2000
2014-06-13,107.4900
2014-06-16,107.5200
2014-06-17,106.9500
2014-06-18,106.6400
2014-06-19,107.0800
2014-06-20,107.9500
2014-06-23,106.8300
2014-06-24,106.6400
2014-06-25,107.0400
2014-06-26,106.4900
2014-06-27,106.4600
2014-06-30,106.0700
2014-07-01,106.0600
2014-07-02,105.1800
2014-07-03,104.7600
2014-07-07,104.1900
2014-07-08,104.0600
2014-07-09,102.9300
2014-07-10,103.6100
2014-07-11,101.4800
2014-07-14,101.7300
2014-07-15,100.5600
2014-07-16,101.8800
2014-07-17,103.8400
2014-07-18,103.8300
2014-07-21,105.3400
2014-07-22,104.5900
2014-07-23,103.8100
2014-07-24,102.7600
2014-07-25,105.2300
2014-07-28,105.6800
2014-07-29,104.9100
2014-07-30,104.2900
2014-07-31,98.2300
2014-08-01,97.8600
2014-08-04,98.2600
2014-08-05,97.3400
2014-08-06,96.9300
2014-08-07,97.3400
2014-08-08,97.6100
2014-08-11,98.0900
2014-08-12,97.3600
2014-08-13,97.5700
2014-08-14,95.5400
2014-08-15,97.3000
2014-08-18,96.4400
2014-08-19,94.3500
2014-08-20,96.4000
2014-08-21,93.9700
2014-08-22,93.6100
2014-08-25,95.3900
2014-08-26,95.7800
2014-08-27,95.8200
2014-08-28,96.4400
2014-08-29,97.8600
2014-09-02,92.9200
2014-09-03,95.5000
2014-09-04,94.5100
2014-09-05,93.3200
2014-09-08,92.6400
2014-09-09,92.7300
2014-09-10,91.7100
2014-09-11,92.8900
2014-09-12,92.1800
2014-09-15,92.8600
2014-09-16,94.9100
2014-09-17,94.3300
2014-09-18,93.0700
2014-09-19,92.4300
2014-09-22,91.4600
2014-09-23,91.5500
2014-09-24,93.6000
2014-09-25,93.5900
2014-09-26,95.5500
2014-09-29,94.5300
